view_date,dashboard_name,total_views
2020-04-14,weekly-sales-comparison,57
2020-09-22,revenue-factura,3
2020-12-01,sales-comparison,425
2020-03-06,marketing-overview,19
2020-04-20,marketing-overview,38
2020-02-20,delivery-quotes,15
2020-12-15,sales-comparison,319
2020-07-03,revenue-factura,8
2020-07-01,shop-performance-overview,3
2020-06-26,weekly-sales-comparison,32
2020-10-26,user-stats,3
2020-02-03,revenue-factura-before-returs,4
2020-11-30,value-returned,1
2020-11-16,delivery-quotes,5
2020-08-03,sales-comparison,420
2020-02-20,supplies,1
2020-09-25,revenue-factura,6
2020-07-01,sales-trend,2
2020-06-26,sales-trend,1
2020-04-14,marketing-overview,29
2020-07-22,weekly-sales-comparison,14
2020-03-30,shop-performance-overview,5
2020-12-04,sales-trend,2
2020-11-30,revenue-factura,33
2020-12-15,marketing-overview,42
2020-07-03,marketing-overview,19
2020-04-20,delivery-quotes,5
2020-02-03,value-returned,3
2020-04-20,marketing-cost,1
2020-11-16,sales-comparison,486
2020-12-04,value-returned,1
2020-12-01,weekly-sales-comparison,20
2020-04-20,value-returned,3
2020-02-03,shop-performance-overview,4
2020-04-20,sales-comparison,611
2020-11-16,supplies,1
2020-04-14,shipment-orders,7
2020-08-04,sales-comparison,373
2020-11-16,weekly-sales-comparison,58
2020-09-22,weekly-sales-comparison,20
2020-12-04,marketing-overview,18
2020-03-30,provisioning-quotes,3
2020-04-14,shop-performance-overview,5
2020-02-20,sales-comparison,242
2020-12-04,revenue-factura,17
2020-02-20,shipment-parcels,2
2020-03-30,marketing-overview,35
2020-08-04,marketing-overview,31
2020-04-14,shipment-parcels,10
2020-06-26,value-returned,3
2020-02-20,revenue-factura,4
2020-12-04,sales-comparison,238
2020-07-03,value-returned,1
2020-11-16,revenue-factura,19
2020-07-03,sales-comparison,346
2020-04-09,weekly-sales-comparison,45
2020-12-15,marketing-affiliate-scorecard,1
2020-04-27,value-returned,1
2020-02-03,revenue-factura,5
2020-12-04,weekly-sales-comparison,47
2020-02-20,process-time,2
2020-12-01,revenue-factura,27
2020-02-03,shipment-parcels,17
2020-06-26,delivery-quotes,4
2020-03-30,sales-comparison,715
2020-04-14,sales-comparison,778
2020-04-27,sales-comparison,526
2020-11-16,marketing-overview,37
2020-08-04,weekly-sales-comparison,6
2020-02-03,sales-comparison,347
2020-11-30,marketing-overview,56
2020-04-09,marketing-overview,15
2020-11-16,marketing-cost,1
2020-06-26,shipment-parcels,2
2020-02-20,user-stats,2
2020-03-06,revenue-factura,3
2020-08-03,shop-performance-overview,2
2020-12-15,revenue-factura,22
