view_date,dashboard_name, total_view_count_per_day
2020-03-06,marketing-overview,19
2019-05-28,marketing-overview,20
2020-12-15,sales-comparison,319
2020-10-26,user-stats,3
2019-05-22,shop-performance-overview,14
2020-11-30,value-returned,1
2020-11-16,delivery-quotes,5
2019-05-28,sales-trend,2
2019-05-28,shop-performance-overview,3
2019-09-10,shop-performance-overview,9
2019-06-06,sales-comparison,110
2019-09-10,marketing-affiliate-scorecard,3
2020-12-04,sales-trend,2
2020-11-30,revenue-factura,33
2020-12-15,marketing-overview,42
2019-09-10,provisioning-quotes,3
2020-11-16,sales-comparison,486
2020-12-04,value-returned,1
2019-09-13,marketing-overview,18
2019-05-22,marketing-cost,2
2020-11-16,supplies,1
2020-08-04,sales-comparison,373
2019-09-10,supplies,1
2020-11-16,weekly-sales-comparison,58
2019-05-24,marketing-overview,16
2019-08-07,sales-comparison,166
2020-12-04,marketing-overview,18
2020-12-04,revenue-factura,17
2020-08-04,marketing-overview,31
2020-12-04,sales-comparison,238
2019-05-28,sales-comparison,95
2020-11-16,revenue-factura,19
2019-09-13,sales-comparison,181
2020-04-09,weekly-sales-comparison,45
2020-12-15,marketing-affiliate-scorecard,1
2020-12-04,weekly-sales-comparison,47
2019-08-07,shipment-orders,4
2019-09-10,weekly-sales-comparison,5
2020-11-16,marketing-overview,37
2019-08-07,shop-performance-overview,33
2020-08-04,weekly-sales-comparison,6
2020-11-30,marketing-overview,56
2020-04-09,marketing-overview,15
2020-11-16,marketing-cost,1
2020-03-06,revenue-factura,3
2019-09-10,shipment-parcels,7
2019-09-10,marketing-overview,26
2020-12-15,revenue-factura,22
2019-05-24,shop-performance-overview,10
2020-11-30,shop-performance-overview,5
2020-12-15,user-stats,12
2020-11-16,marketing-affiliate-scorecard,1
2020-11-30,sales-comparison,871
2020-11-16,marketing-crm-scorecard,1
2019-06-06,marketing-channel-overview,2
2020-03-06,sales-comparison,444
2020-11-30,sales-trend,20
2020-11-16,user-stats,2
2020-11-30,weekly-sales-comparison,86
2020-12-15,shipment-orders,1
2020-12-15,marketing-cost,1
2020-12-15,weekly-sales-comparison,20
2020-04-09,delivery-quotes,1
2019-08-07,provisioning-quotes,1
2019-06-06,marketing-overview,32
2019-09-10,sales-comparison,254
2020-08-04,shop-performance-overview,2
2020-11-16,shop-performance-overview,2
2020-11-16,sales-trend,5
2019-05-22,sales-comparison,125
2019-06-06,marketing-crm-scorecard,1
2019-05-22,marketing-channel-overview,2
2019-09-10,delivery-quotes,2
2020-04-09,shop-performance-overview,3
2020-10-26,sales-comparison,362
2019-10-11,sales-comparison,191
2019-05-24,sales-comparison,124
2020-11-30,shipment-parcels,8
2020-10-26,marketing-overview,35
2019-09-10,marketing-crm-scorecard,1
2020-03-06,sales-trend,2
2020-10-26,weekly-sales-comparison,85
2020-11-30,marketing-cost,1
2019-08-07,delivery-quotes,2
2019-09-10,process-time,5
2020-11-30,revenue-factura-before-returs,1
2019-09-10,shipment-orders,2
2020-11-16,revenue-factura-before-returs,1
2019-05-22,sales-trend,1
2020-12-15,provisioning-quotes,1
2020-10-26,shipment-parcels,9
2020-11-30,user-stats,3
2020-12-15,delivery-quotes,5
2019-05-22,weekly-overview,10
2019-08-07,marketing-overview,18
2019-05-22,marketing-overview,16
2020-11-30,marketing-affiliate-scorecard,1
2020-12-15,shipment-parcels,10
2020-04-09,sales-comparison,380
2020-11-16,shipment-parcels,14
2020-12-15,shop-performance-overview,4
2020-11-30,shipment-orders,4
2019-08-07,shipment-parcels,4
2020-10-26,revenue-factura,15
2020-12-04,delivery-quotes,1
2020-12-04,shipment-parcels,9
2020-11-16,process-time,1
2020-04-09,revenue-factura,3
2020-04-14,weekly-sales-comparison,57
2019-07-30,sales-comparison,194
2020-09-22,revenue-factura,3
2020-12-01,sales-comparison,425
2020-04-20,marketing-overview,38
2020-02-20,delivery-quotes,15
2020-07-03,revenue-factura,8
2020-07-01,shop-performance-overview,3
2020-06-26,weekly-sales-comparison,32
2020-02-03,revenue-factura-before-returs,4
2020-12-17,shop-performance-overview,4
2020-08-03,sales-comparison,420
2020-02-20,supplies,1
2020-09-25,revenue-factura,6
2020-07-01,sales-trend,2
2020-06-26,sales-trend,1
2020-04-14,marketing-overview,29
2020-07-22,weekly-sales-comparison,14
2020-03-30,shop-performance-overview,5
2019-10-29,marketing-overview,19
2020-07-03,marketing-overview,19
2020-04-20,delivery-quotes,5
2019-10-29,marketing-cost,6
2020-02-03,value-returned,3
2020-04-20,marketing-cost,1
2020-12-01,weekly-sales-comparison,20
2020-04-20,value-returned,3
2020-02-03,shop-performance-overview,4
2020-04-20,sales-comparison,611
2020-04-14,shipment-orders,7
2020-11-23,marketing-overview,32
2020-09-22,weekly-sales-comparison,20
2020-11-23,revenue-factura,15
2020-01-07,sales-comparison,235
2019-11-04,sales-comparison,317
2019-11-04,marketing-overview,25
2019-11-26,sales-comparison,387
2019-09-06,marketing-overview,18
2019-10-29,delivery-quotes,9
2020-03-30,provisioning-quotes,3
2020-04-14,shop-performance-overview,5
2019-07-25,marketing-overview,14
2020-02-20,sales-comparison,242
2019-11-04,marketing-crm-scorecard,2
2020-02-20,shipment-parcels,2
2019-07-25,sales-comparison,166
2020-03-30,marketing-overview,35
2020-04-14,shipment-parcels,10
2020-06-26,value-returned,3
2020-02-20,revenue-factura,4
2020-07-03,value-returned,1
2020-07-03,sales-comparison,346
2020-11-23,shop-performance-overview,4
2020-04-27,value-returned,1
2020-02-03,revenue-factura,5
2020-02-20,process-time,2
2020-12-01,revenue-factura,27
2020-02-03,shipment-parcels,17
2020-06-26,delivery-quotes,4
2020-03-30,sales-comparison,715
2020-04-14,sales-comparison,778
2020-04-27,sales-comparison,526
2019-11-04,shipment-parcels,11
2020-12-17,shipment-parcels,15
2020-02-03,sales-comparison,347
2020-06-26,shipment-parcels,2
2020-12-17,sales-comparison,290
2020-02-20,user-stats,2
2020-08-03,shop-performance-overview,2
2019-09-06,weekly-sales-comparison,4
2020-12-01,sales-trend,4
2020-07-01,sales-comparison,406
2020-06-26,revenue-factura,9
2020-04-27,weekly-sales-comparison,26
2019-09-06,sales-comparison,235
2020-03-30,revenue-factura-before-returs,2
2019-11-04,sales-trend,5
2019-11-04,marketing-cost,1
2019-11-26,marketing-overview,35
2020-11-23,sales-comparison,484
2020-08-03,marketing-crm-scorecard,1
2020-11-23,delivery-quotes,2
2020-09-22,sales-comparison,307
2020-12-01,shop-performance-overview,1
2020-03-30,revenue-factura,17
2020-09-25,sales-trend,1
2020-11-23,weekly-sales-comparison,78
2020-11-23,shipment-parcels,15
2020-02-03,marketing-overview,24
2020-04-14,delivery-quotes,6
2020-12-17,delivery-quotes,5
2020-07-22,revenue-factura,8
2019-07-30,marketing-overview,14
2020-02-20,shipment-orders,3
2020-06-26,shop-performance-overview,3
2020-02-20,marketing-overview,28
2020-07-01,value-returned,2
2019-11-04,weekly-sales-comparison,16
2020-07-22,marketing-overview,16
2019-11-04,shop-performance-overview,2
2020-07-01,revenue-factura,23
2020-04-27,revenue-factura,20
2020-07-03,delivery-quotes,1
2020-02-03,shipment-orders,17
2020-07-01,shipment-parcels,1
2020-08-03,marketing-affiliate-scorecard,1
2020-07-01,weekly-sales-comparison,23
2020-04-14,revenue-factura,6
2020-07-03,weekly-sales-comparison,72
2020-04-27,shipment-parcels,8
2020-09-25,sales-comparison,279
2019-11-26,weekly-sales-comparison,8
2020-09-25,weekly-sales-comparison,18
2020-08-03,marketing-overview,28
2020-09-25,marketing-overview,17
2019-10-29,shop-performance-overview,9
2020-07-22,sales-comparison,269
2020-04-20,shipment-parcels,10
2020-02-03,delivery-quotes,2
2020-04-27,marketing-overview,24
2020-04-27,delivery-quotes,10
2020-06-26,sales-comparison,271
2020-09-22,marketing-overview,25
2020-11-23,sales-trend,13
2020-02-20,provisioning-quotes,5
2019-10-29,shipment-parcels,10
2020-08-03,marketing-cost,1
2020-12-17,marketing-overview,37
2019-07-30,sales-trend,3
2020-06-26,marketing-overview,12
2020-07-03,sales-trend,1
2020-12-17,weekly-sales-comparison,26
2019-10-29,sales-comparison,298
2020-04-20,revenue-factura,10
2019-11-26,shipment-parcels,17
2020-04-27,shipment-orders,4
2020-12-01,marketing-overview,34
2020-03-30,weekly-sales-comparison,29
2020-07-01,marketing-overview,26
2020-04-20,weekly-sales-comparison,33
2020-10-19,marketing-overview,29
2020-10-19,revenue-factura,8
2020-03-02,marketing-overview,35
2020-08-17,sales-trend,5
2020-03-30,sales-trend,5
2019-10-09,marketing-crm-scorecard,1
2020-08-17,weekly-sales-comparison,35
2020-10-22,weekly-sales-comparison,50
2020-03-30,delivery-quotes,16
2020-10-19,sales-trend,3
2020-10-19,delivery-quotes,2
2020-10-22,marketing-overview,38
2019-08-21,shop-performance-overview,5
2020-09-29,marketing-overview,26
2019-07-17,weekly-overview,3
2019-10-23,sales-comparison,258
2019-07-17,shipment-parcels,2
2020-03-02,revenue-factura,8
2019-08-21,sales-comparison,240
2020-09-09,delivery-quotes,19
2020-03-02,sales-trend,3
2020-09-17,shipment-orders,2
2020-06-05,revenue-factura,8
2020-10-12,shipment-parcels,8
2019-10-23,marketing-overview,30
2020-09-29,weekly-sales-comparison,52
2020-09-28,sales-comparison,336
2020-10-12,weekly-sales-comparison,55
2019-07-16,sales-comparison,193
2019-09-02,sales-trend,1
2020-04-21,marketing-overview,32
2020-09-28,sales-trend,2
2020-08-17,delivery-quotes,5
2020-03-02,delivery-quotes,9
2020-03-02,shipment-parcels,6
2019-12-04,marketing-awin-scorecard,4
2020-03-02,weekly-sales-comparison,40
2020-10-12,sales-comparison,458
2019-12-02,shop-performance-overview,16
2020-06-09,revenue-factura,12
2020-09-29,delivery-quotes,7
2019-12-04,marketing-dis-ret-scorecard,4
2019-07-29,marketing-awin-scorecard,36
2019-10-09,marketing-overview,16
2020-04-14,sales-trend,5
2019-07-16,shop-performance-overview,4
2020-09-09,revenue-factura,13
2020-11-02,weekly-sales-comparison,80
2020-10-22,revenue-factura,8
2019-09-02,weekly-sales-comparison,10
2020-08-17,sales-comparison,355
2020-10-19,shipment-parcels,6
2020-06-09,marketing-overview,20
2020-06-05,marketing-overview,34
2019-07-17,sales-comparison,113
2020-09-28,value-returned,1
2020-10-12,revenue-factura-before-returs,1
2019-12-02,marketing-overview,29
2020-09-09,sales-trend,2
2020-09-17,sales-trend,4
2019-08-21,marketing-overview,13
2020-04-21,shipment-parcels,13
2020-10-12,marketing-overview,36
2020-09-09,sales-comparison,399
2020-04-21,delivery-quotes,5
2019-12-04,sales-comparison,373
2019-07-17,sales-trend,5
2019-09-02,marketing-overview,38
2020-10-19,sales-comparison,461
2020-03-30,shipment-parcels,11
2019-10-09,shipment-orders,3
2020-08-17,shipment-parcels,6
2019-09-02,sales-comparison,279
2020-09-28,marketing-overview,23
2020-08-17,marketing-overview,27
2020-09-28,revenue-factura,11
2020-09-28,weekly-sales-comparison,58
2019-08-21,weekly-sales-comparison,36
2019-07-16,marketing-overview,21
2019-07-17,user-stats,3
2019-12-04,marketing-overview,25
2019-09-02,shipment-parcels,11
2020-06-05,weekly-sales-comparison,46
2019-07-29,sales-comparison,225
2020-09-17,revenue-factura,6
2019-08-21,sales-trend,3
2020-09-17,weekly-sales-comparison,30
2020-06-09,user-stats,1
2019-10-09,sales-comparison,251
2020-09-17,marketing-overview,36
2020-09-09,marketing-overview,30
2020-04-21,weekly-sales-comparison,30
2020-09-17,sales-comparison,274
2020-03-30,shipment-orders,2
2020-09-17,delivery-quotes,9
2020-10-12,revenue-factura,10
2019-12-04,weekly-sales-comparison,38
2020-11-02,marketing-overview,45
2020-10-22,sales-comparison,295
2020-04-21,sales-comparison,438
2019-07-17,marketing-overview,18
2020-11-02,revenue-factura,36
2020-10-19,weekly-sales-comparison,65
2019-10-23,marketing-crm-scorecard,2
2020-06-09,shop-performance-overview,1
2020-09-29,sales-comparison,331
2020-06-05,sales-comparison,327
2020-06-09,sales-comparison,279
2020-03-02,sales-comparison,435
2020-10-12,sales-trend,5
2020-09-09,weekly-sales-comparison,76
2020-04-21,revenue-factura,8
2020-09-29,revenue-factura,10
2019-07-17,shipment-orders,3
2020-08-17,revenue-factura,12
2020-06-09,weekly-sales-comparison,37
2019-07-29,marketing-overview,32
2020-11-02,sales-comparison,442
2020-10-12,delivery-quotes,2
2020-09-29,sales-trend,5
2019-12-02,sales-comparison,543
2020-03-02,user-stats,2
2020-06-09,value-returned,8
2020-06-02,revenue-factura,11
2020-10-28,shipment-parcels,15
2020-02-18,marketing-overview,25
2020-06-02,weekly-sales-comparison,35
2019-10-24,user-stats,9
2020-07-24,revenue-factura,4
2020-06-02,value-returned,1
2020-08-31,shipment-orders,2
2019-07-24,shipment-orders,1
2020-06-23,shipment-parcels,7
2020-10-16,shop-performance-overview,2
2020-05-11,shop-performance-overview,3
2020-08-31,value-returned,3
2020-08-31,shipment-parcels,5
2020-04-02,weekly-sales-comparison,41
2020-05-11,shipment-parcels,10
2020-04-02,user-stats,1
2020-06-02,marketing-overview,27
2020-03-03,marketing-overview,36
2020-09-01,revenue-factura,5
2019-08-06,sales-comparison,109
2020-07-24,delivery-quotes,4
2019-08-01,shipment-orders,3
2019-08-06,user-stats,4
2020-08-31,marketing-overview,32
2020-10-28,weekly-sales-comparison,67
2020-11-27,sales-trend,3
2020-06-24,shipment-parcels,5
2020-06-23,marketing-overview,19
2020-06-23,weekly-sales-comparison,36
2020-03-03,shop-performance-overview,4
2020-10-28,marketing-overview,39
2020-09-01,weekly-sales-comparison,14
2020-09-16,shipment-parcels,4
2020-07-02,weekly-sales-comparison,31
2020-10-16,revenue-factura,10
2020-09-16,marketing-awin-scorecard,1
2020-08-31,revenue-factura-before-returs,3
2020-09-16,delivery-quotes,5
2020-05-11,sales-comparison,566
2020-11-26,shipment-parcels,11
2020-05-11,weekly-sales-comparison,62
2020-07-02,shipment-parcels,3
2019-08-06,marketing-overview,6
2019-08-06,weekly-overview,2
2020-08-31,sales-trend,6
2020-02-10,marketing-overview,28
2020-03-03,delivery-quotes,10
2020-04-02,shipment-orders,1
2020-10-16,sales-comparison,297
2020-11-26,sales-comparison,338
2020-10-16,weekly-sales-comparison,128
2019-08-01,marketing-overview,13
2020-07-24,shipment-parcels,2
2020-04-02,shipment-parcels,5
2020-03-06,weekly-sales-comparison,10
2020-11-27,revenue-factura,19
2019-08-06,shipment-orders,11
2020-08-31,revenue-factura,12
2020-07-02,sales-comparison,382
2020-09-01,sales-comparison,340
2019-07-24,sales-comparison,186
2020-09-16,revenue-factura,11
2020-11-27,weekly-sales-comparison,107
2019-10-24,sales-comparison,210
2020-10-28,revenue-factura,37
2019-08-01,sales-comparison,142
2020-08-07,weekly-sales-comparison,57
2019-10-24,shipment-parcels,9
2020-06-24,weekly-sales-comparison,46
2020-03-06,value-returned,5
2020-10-28,sales-comparison,311
2020-11-27,shipment-parcels,11
2020-09-16,marketing-overview,30
2020-10-16,marketing-overview,31
2020-08-07,delivery-quotes,2
2020-04-02,delivery-quotes,14
2019-07-02,shop-performance-overview,10
2020-06-02,shipment-parcels,7
2020-11-26,revenue-factura,22
2020-07-02,revenue-factura,8
2020-04-02,sales-comparison,561
2020-08-07,shop-performance-overview,1
2019-07-02,sales-comparison,191
2020-06-02,sales-trend,3
2020-11-27,sales-comparison,421
2020-03-03,sales-trend,4
2020-02-18,sales-comparison,293
2020-02-10,sales-comparison,317
2020-12-15,revenue-factura-before-returs,1
2020-05-11,revenue-factura-before-returs,5
2020-05-11,marketing-overview,39
2020-11-26,shop-performance-overview,4
2020-11-26,marketing-overview,42
2020-07-02,shop-performance-overview,1
2019-10-24,delivery-quotes,13
2020-09-16,shop-performance-overview,1
2020-07-02,marketing-overview,18
2020-08-03,sales-trend,4
2020-09-16,sales-comparison,264
2020-07-24,marketing-overview,20
2020-08-03,delivery-quotes,5
2020-06-02,shop-performance-overview,5
2020-04-02,marketing-overview,25
2019-07-02,sales-trend,3
2020-09-16,weekly-sales-comparison,27
2020-06-24,revenue-factura,8
2019-07-24,marketing-overview,24
2020-06-24,delivery-quotes,3
2020-06-24,sales-comparison,338
2020-09-01,marketing-overview,25
2020-06-02,sales-comparison,448
2020-12-15,value-returned,1
2020-08-31,sales-comparison,427
2019-07-02,weekly-overview,7
2020-05-11,revenue-factura,24
2020-06-23,sales-comparison,319
2020-09-16,value-returned,5
2020-07-24,sales-comparison,284
2020-07-24,revenue-factura-before-returs,2
2020-11-27,marketing-overview,30
2020-03-03,sales-comparison,398
2020-08-07,sales-comparison,283
2019-10-24,provisioning-quotes,2
2020-07-24,weekly-sales-comparison,30
2020-08-07,marketing-overview,12
2020-11-26,weekly-sales-comparison,77
2020-05-11,delivery-quotes,4
2020-11-26,sales-trend,2
2020-12-15,sales-trend,4
2020-08-07,revenue-factura,8
2019-10-24,shop-performance-overview,7
2020-04-02,revenue-factura,10
2020-05-11,marketing-awin-scorecard,3
2020-06-24,marketing-overview,26
2020-06-23,revenue-factura,11
2020-08-31,weekly-sales-comparison,40
2020-11-26,delivery-quotes,2
2020-01-08,shipment-parcels,5
2020-07-07,sales-comparison,351
2020-03-24,sales-comparison,397
2020-03-24,shop-performance-overview,2
2020-09-25,shipment-orders,2
2020-05-19,sales-comparison,334
2020-01-08,sales-comparison,273
2019-06-19,marketing-overview,21
2020-10-05,weekly-sales-comparison,61
2020-11-20,revenue-factura-before-returs,1
2020-10-14,weekly-sales-comparison,87
2020-09-21,delivery-quotes,4
2020-07-27,weekly-sales-comparison,17
2020-05-04,weekly-sales-comparison,40
2020-08-13,marketing-overview,20
2020-11-20,sales-comparison,266
2020-08-05,sales-comparison,266
2020-05-04,sales-comparison,465
2020-05-06,sales-comparison,334
2020-05-06,weekly-sales-comparison,12
2019-06-19,user-stats,2
2020-11-20,delivery-quotes,3
2020-08-13,sales-comparison,288
2020-08-24,revenue-factura,10
2020-11-24,shipment-parcels,10
2020-03-03,weekly-sales-comparison,8
2020-03-24,weekly-sales-comparison,11
2019-11-29,weekly-sales-comparison,14
2020-07-27,revenue-factura,6
2020-10-05,revenue-factura,11
2020-11-20,marketing-overview,34
2019-11-29,shipment-parcels,8
2020-03-24,revenue-factura,5
2020-09-21,marketing-overview,50
2020-11-24,weekly-sales-comparison,65
2020-07-27,shop-performance-overview,1
2020-05-19,revenue-factura,7
2020-11-24,marketing-overview,27
2020-05-25,marketing-overview,46
2020-10-14,marketing-overview,32
2020-05-25,weekly-sales-comparison,38
2019-09-13,shop-performance-overview,4
2020-05-06,revenue-factura,8
2020-07-27,delivery-quotes,5
2020-05-06,delivery-quotes,1
2019-06-19,shop-performance-overview,20
2020-07-27,shipment-parcels,5
2020-11-20,shipment-orders,2
2020-03-05,weekly-sales-comparison,17
2020-03-24,shipment-parcels,7
2020-05-25,revenue-factura,14
2020-05-04,delivery-quotes,3
2019-08-13,marketing-overview,14
2019-06-19,sales-comparison,104
2020-05-06,value-returned,4
2020-09-21,revenue-factura-before-returs,2
2019-11-29,marketing-overview,37
2020-09-21,shipment-orders,3
2020-07-27,value-returned,2
2020-08-05,shipment-parcels,1
2020-11-24,sales-comparison,423
2019-11-29,shop-performance-overview,4
2020-09-21,shipment-parcels,5
2020-08-24,marketing-overview,27
2020-10-14,revenue-factura,9
2020-10-14,sales-comparison,314
2020-08-05,revenue-factura,3
2020-05-04,marketing-overview,35
2020-11-20,shipment-parcels,12
2020-09-21,value-returned,2
2020-08-24,weekly-sales-comparison,30
2020-01-08,marketing-overview,17
2020-07-27,marketing-overview,15
2020-05-06,marketing-overview,29
2019-07-31,shipment-orders,1
2019-08-13,sales-comparison,129
2020-09-21,weekly-sales-comparison,34
2020-10-14,delivery-quotes,1
2020-05-06,sales-trend,2
2020-03-05,marketing-overview,30
2020-05-19,weekly-sales-comparison,22
2020-09-21,sales-comparison,399
2020-10-14,sales-trend,3
2020-07-07,revenue-factura-before-returs,1
2019-11-29,delivery-quotes,1
2019-07-31,sales-trend,1
2020-08-05,weekly-sales-comparison,52
2020-11-24,sales-trend,9
2019-06-19,weekly-overview,3
2019-09-13,provisioning-quotes,2
2020-10-05,sales-comparison,452
2020-05-25,sales-trend,3
2020-05-06,shipment-parcels,8
2020-11-24,shop-performance-overview,10
2020-07-27,sales-comparison,260
2020-11-20,revenue-factura,19
2020-08-24,shop-performance-overview,2
2020-05-19,marketing-overview,28
2019-11-29,sales-comparison,382
2020-08-24,sales-comparison,444
2020-07-07,weekly-sales-comparison,57
2020-07-07,revenue-factura,9
2020-03-05,sales-comparison,302
2019-07-31,sales-comparison,159
2019-11-29,shipment-orders,4
2020-08-05,marketing-overview,16
2020-09-25,shipment-parcels,5
2020-10-05,shop-performance-overview,4
2020-11-24,revenue-factura,12
2020-10-05,marketing-overview,34
2020-08-05,delivery-quotes,8
